Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Identifier,External Identifier
ETC ColorSource Spot 19° EDLT (Deep Blue),19.5°,160W,,,57,,E.101,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R132,579,,TEMP HS <<,,17.0lbs,#3 ELECTRIC,25.78',34.50',-27.54',93.8°,32.1°,-88.8°,-86°,58°,E118FE46-F0DC-46BC-A550-7BDDC4F3C570,
ETC Source Four 36°,HPL 750/230,750W,,,67,,A.7,"Control, 1 ch",1,LX - FIXTURES,,"L161, R119",,,HS BLUE >>,,14.1lbs,#3 ELECTRIC,-30.61',34.52',-26.65',86.3°,-61.3°,85.7°,87°,28°,99BCEF12-DDE7-4FE2-B29E-F67CEE965E2C,
ETC Source Four 26°,HPL 750/230,750W,,,68,,A.8,"Control, 1 ch",1,LX - FIXTURES,,"L161, R119",,,HS BLUE >>,,14.1lbs,#3 ELECTRIC,-27.87',34.52',-26.65',88.1°,-46.7°,87.4°,88°,43°,4277E7FD-BFFF-4B3B-B8D5-9B075E8C3949,
ETC Source Four 19°,HPL 750/230,750W,,,69,,A.9,"Control, 1 ch",1,LX - FIXTURES,,"L161, R119",,,HS BLUE >>,,14.1lbs,#3 ELECTRIC,-25.63',34.52',-26.65',86.9°,-34.4°,84.6°,85°,55°,A9997F62-85B1-4A35-9971-438DC3E14AB9,
ETC Source Four 36°,HPL 750/230,750W,,,79,,A.18,"Control, 1 ch",1,LX - FIXTURES,,"R119, R16",,,HS AMB <<,,14.1lbs,#3 ELECTRIC,30.97',34.43',-26.68',93.7°,61.3°,-94.3°,-92°,28°,B23FDD7D-227F-47CA-A2B6-D76413DD249A,
ETC Source Four 26°,HPL 750/230,750W,,,78,,A.17,"Control, 1 ch",1,LX - FIXTURES,,"R119, R16",,,HS AMB <<,,14.1lbs,#3 ELECTRIC,28.23',34.43',-26.68',91.9°,46.7°,-92.6°,-91°,43°,14C46D5D-E249-4485-9E86-748C6019C1D1,
ETC Source Four 19°,HPL 750/230,750W,,,77,,A.16,"Control, 1 ch",1,LX - FIXTURES,,"R119, R16",,,HS AMB <<,,14.1lbs,#3 ELECTRIC,25.99',34.43',-26.68',93.1°,34.4°,-95.4°,-94°,55°,9022F06F-1234-4729-B804-901D3926FB1F,
ETC ColorSource PAR (Deep Blue),Wide Oval Lens,103W,,,28,,E.36,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,,,,TOP WASH,,8.3lbs,#2 ELECTRIC,-0.01',34.95',-15.20',0°,90.0°,-0.2°,-180°,0°,C1594247-2089-49A2-A23C-910ACD93830E,
ETC ColorSource PAR (Deep Blue),Wide Oval Lens,103W,,,29,,E.41,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,,,,TOP WASH,,8.3lbs,#2 ELECTRIC,7.99',34.95',-15.20',0°,90.0°,-0.2°,-180°,0°,69850C9A-7804-49D0-87F2-98D46AC787B8,
ETC ColorSource PAR (Deep Blue),Wide Oval Lens,103W,,,30,,E.46,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,,,,TOP WASH,,8.3lbs,#2 ELECTRIC,15.99',34.95',-15.20',0°,90.0°,-0.2°,-180°,0°,BA528DA1-84F7-4D27-8FC4-76AC3C2E2208,
ETC ColorSource PAR (Deep Blue),Wide Oval Lens,103W,,,27,,E.31,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,,,,TOP WASH,,8.3lbs,#2 ELECTRIC,-8.01',34.95',-15.20',0°,90.0°,-0.2°,-180°,0°,EB45C716-28A8-459A-8415-BD6F54583F7E,
ETC ColorSource PAR (Deep Blue),Wide Oval Lens,103W,,,26,,E.26,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,,,,TOP WASH,,8.3lbs,#2 ELECTRIC,-16.01',34.95',-15.20',0°,90.0°,-0.2°,-180°,0°,E026AAD4-97AB-4484-AAA7-5858274EA862,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,9,,B.325,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,TOP SPOTS,,83.9lbs,#2 ELECTRIC,-0.05',35.40',-16.37',-0°,0°,0°,0°,0°,8473D802-5F99-4CBD-8269-DF09D3D7C16C,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,10,,B.361,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,TOP SPOTS,,83.9lbs,#2 ELECTRIC,7.95',35.40',-16.37',-0°,0°,0°,0°,0°,220E3466-3D2B-40E6-B859-69B56214AFF6,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,11,,B.397,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,TOP SPOTS,,83.9lbs,#2 ELECTRIC,15.95',35.40',-16.37',-0°,0°,0°,0°,0°,7379AD2D-AA08-4787-BBE8-9A606C5AC35C,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,8,,B.289,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,TOP SPOTS,,83.9lbs,#2 ELECTRIC,-8.05',35.40',-16.37',-0°,0°,0°,0°,0°,2CDAA583-FC16-4758-9A60-A4B504614BC4,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,7,,B.253,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,TOP SPOTS,,83.9lbs,#2 ELECTRIC,-16.05',35.40',-16.37',-0°,0°,0°,0°,0°,9B9B4F56-9712-42D9-B6C0-83792C4CD703,
ETC ColorSource Spot 26° EDLT (Deep Blue),25.5°,160W,,,45,,E.111,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R132,579,,TEMP HS >>,,17.0lbs,#2 ELECTRIC,-27.91',34.54',-16.58',85.4°,-45°,90.0°,-265°,45°,2E282980-22D1-4E47-B899-3CA85B13CE85,
ETC ColorSource Spot 36° EDLT (Deep Blue),34°,160W,,,44,,E.141,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R132,579,,TEMP HS >>,,17.0lbs,#2 ELECTRIC,-30.59',34.54',-16.58',84.6°,-52.9°,88.9°,-264°,37°,CCE665FB-DC24-46EE-8EEF-336D0CFEC768,
ETC ColorSource Spot 19° EDLT (Deep Blue),19.5°,160W,,,46,,E.81,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R132,579,,TEMP HS >>,,17.0lbs,#2 ELECTRIC,-25.60',34.54',-16.58',86.2°,-32.1°,91.2°,-266°,58°,1B2DA91B-F16B-4F66-931C-31B6EAE01C9D,
ETC ColorSource Spot 26° EDLT (Deep Blue),25.5°,160W,,,55,,E.126,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R132,579,,TEMP HS <<,,17.0lbs,#2 ELECTRIC,28.12',34.52',-16.49',94.6°,45.0°,-90.0°,-85°,45°,F4A2F315-1047-4F92-82A3-05C9D93C1E41,
ETC ColorSource Spot 36° EDLT (Deep Blue),34°,160W,,,56,,E.156,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R132,579,,TEMP HS <<,,17.0lbs,#2 ELECTRIC,30.81',34.52',-16.49',95.4°,52.9°,-91.1°,-84°,37°,FFFF39A7-E41F-4CD8-8823-C3AB14D3B1BF,
ETC ColorSource Spot 19° EDLT (Deep Blue),19.5°,160W,,,54,,E.96,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R132,579,,TEMP HS <<,,17.0lbs,#2 ELECTRIC,25.81',34.52',-16.49',93.8°,32.1°,-88.8°,-86°,58°,5F9FB217-2AE9-41AC-8DC8-41EF806295ED,
ETC Source Four 36°,HPL 750/230,750W,,,64,,A.4,"Control, 1 ch",1,LX - FIXTURES,,"L161, R119",,,HS BLUE >>,,14.1lbs,#2 ELECTRIC,-30.58',34.49',-15.56',86.3°,-61.3°,85.7°,87°,28°,8E5AC24A-8AD6-4AB3-8D97-F6B73CE3042F,
ETC Source Four 26°,HPL 750/230,750W,,,65,,A.5,"Control, 1 ch",1,LX - FIXTURES,,"L161, R119",,,HS BLUE >>,,14.1lbs,#2 ELECTRIC,-27.84',34.49',-15.56',88.1°,-46.7°,87.4°,88°,43°,5FC6DA8D-E380-4369-B0AE-3BB789E0EBF5,
ETC Source Four 19°,HPL 750/230,750W,,,66,,A.6,"Control, 1 ch",1,LX - FIXTURES,,"L161, R119",,,HS BLUE >>,,14.1lbs,#2 ELECTRIC,-25.60',34.49',-15.56',86.9°,-34.4°,84.6°,85°,55°,48387EF1-8493-4B47-9C56-94875C3E5551,
ETC Source Four 36°,HPL 750/230,750W,,,76,,A.15,"Control, 1 ch",1,LX - FIXTURES,,"R119, R16",,,HS AMB <<,,14.1lbs,#2 ELECTRIC,31.01',34.44',-15.54',93.7°,61.3°,-94.3°,-92°,28°,F7CE1443-5254-4479-AE7D-3310BDA5308E,
ETC Source Four 26°,HPL 750/230,750W,,,75,,A.14,"Control, 1 ch",1,LX - FIXTURES,,"R119, R16",,,HS AMB <<,,14.1lbs,#2 ELECTRIC,28.27',34.44',-15.54',91.9°,46.7°,-92.6°,-91°,43°,5EB63E98-C272-463B-9FA1-571217A5532B,
ETC Source Four 19°,HPL 750/230,750W,,,74,,A.13,"Control, 1 ch",1,LX - FIXTURES,,"R119, R16",,,HS AMB <<,,14.1lbs,#2 ELECTRIC,26.03',34.44',-15.54',93.1°,34.4°,-95.4°,-94°,55°,197E7271-2795-4647-90A1-CEAFDC3DCE47,
ETC ColorSource PAR (Deep Blue),Wide Oval Lens,103W,,,23,,E.11,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,,,,TOP WASH,,8.3lbs,#1 ELECTRIC,0.00',34.92',-4.97',0°,90.0°,0°,0°,0°,17E7DC8D-94F6-48E7-898F-F8318EE3384D,
ETC ColorSource PAR (Deep Blue),Wide Oval Lens,103W,,,24,,E.16,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,,,,TOP WASH,,8.3lbs,#1 ELECTRIC,8.00',34.92',-4.97',0°,90.0°,0°,0°,0°,C2DD87C6-856C-4E19-A908-2CD94E32CD39,
ETC ColorSource PAR (Deep Blue),Wide Oval Lens,103W,,,25,,E.21,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,,,,TOP WASH,,8.3lbs,#1 ELECTRIC,16.00',34.92',-4.97',0°,90.0°,0°,0°,0°,6D3941EF-DFE7-48A9-89C3-EC5033278B12,
ETC ColorSource PAR (Deep Blue),Wide Oval Lens,103W,,,22,,E.6,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,,,,TOP WASH,,8.3lbs,#1 ELECTRIC,-8.00',34.92',-4.97',0°,90.0°,0°,0°,0°,2D10461C-E8E9-4C6D-807A-FD16F9D4CA23,
ETC ColorSource PAR (Deep Blue),Wide Oval Lens,103W,,,21,,E.1,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,,,,TOP WASH,,8.3lbs,#1 ELECTRIC,-16.00',34.92',-4.97',0°,90.0°,0°,0°,0°,CDF706EA-B4DB-47DF-9AD0-C192C0AB35DA,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,3,,B.109,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,TOP SPOTS,,83.9lbs,#1 ELECTRIC,-4',35.32',-5',-0°,0°,0°,0°,0°,232C4729-614C-4289-B728-01EB4375D13D,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,2,,B.73,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,TOP SPOTS,,83.9lbs,#1 ELECTRIC,-12',35.32',-5',-0°,0°,0°,0°,0°,D97C0147-968C-487A-BEF7-5F4F3435B201,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,1,,B.37,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,TOP SPOTS,,83.9lbs,#1 ELECTRIC,-20',35.32',-5',-0°,0°,0°,0°,0°,6EA7A161-6B31-4CD9-B73F-70F909EAD5DD,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,4,,B.145,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,TOP SPOTS,,83.9lbs,#1 ELECTRIC,4',35.32',-5',-0°,0°,0°,0°,0°,9B4812E0-0540-4A38-9E3C-C5196C647341,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,5,,B.181,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,TOP SPOTS,,83.9lbs,#1 ELECTRIC,12',35.32',-5',-0°,0°,0°,0°,0°,0F2F997F-6D4F-4DEE-A11A-A7D4B85AB09F,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,6,,B.217,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,TOP SPOTS,,83.9lbs,#1 ELECTRIC,20',35.32',-5',-0°,0°,0°,0°,0°,1EBC39A7-F08B-465C-9C76-7519FE4432C9,
ETC ColorSource Spot 26° EDLT (Deep Blue),25.5°,160W,,,42,,E.106,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R132,579,,TEMP HS >>,,17.0lbs,#1 ELECTRIC,-27.88',34.52',-5.54',85.4°,-45°,90.0°,-265°,45°,89308A4E-A2CF-4382-8266-7DD911C164B8,
ETC ColorSource Spot 36° EDLT (Deep Blue),34°,160W,,,41,,E.136,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R132,579,,TEMP HS >>,,17.0lbs,#1 ELECTRIC,-30.56',34.52',-5.54',84.6°,-52.9°,88.9°,-264°,37°,43ACD6E3-D2CC-4C2B-8D25-698F3758B2E3,
ETC ColorSource Spot 19° EDLT (Deep Blue),19.5°,160W,,,43,,E.76,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R132,579,,TEMP HS >>,,17.0lbs,#1 ELECTRIC,-25.57',34.52',-5.54',86.2°,-32.1°,91.2°,-266°,58°,6B8761EF-B21E-4CE2-B209-E77A70850A43,
ETC ColorSource Spot 26° EDLT (Deep Blue),25.5°,160W,,,52,,E.121,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R132,579,,TEMP HS <<,,17.0lbs,#1 ELECTRIC,28.04',34.52',-5.36',94.6°,45.0°,-90.0°,-85°,45°,FE487749-96D0-4293-8A70-CA30417ED79C,
ETC ColorSource Spot 36° EDLT (Deep Blue),34°,160W,,,53,,E.151,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R132,579,,TEMP HS <<,,17.0lbs,#1 ELECTRIC,30.72',34.52',-5.36',95.4°,52.9°,-91.1°,-84°,37°,73687DA8-AEE3-4B5E-90C8-AFBC6DC2E4F2,
ETC ColorSource Spot 19° EDLT (Deep Blue),19.5°,160W,,,51,,E.91,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R132,579,,TEMP HS <<,,17.0lbs,#1 ELECTRIC,25.73',34.52',-5.36',93.8°,32.1°,-88.8°,-86°,58°,622EAE3E-9D5C-4526-BE0B-F74812E499E2,
ETC Source Four 36°,HPL 750/230,750W,,,61,,A.1,"Control, 1 ch",1,LX - FIXTURES,,"L161, R119",,,HS BLUE >>,,14.1lbs,#1 ELECTRIC,-30.54',34.48',-4.42',86.3°,-61.3°,85.7°,87°,28°,A9E126A6-DF21-4ABF-AA1D-30851852B786,
ETC Source Four 26°,HPL 750/230,750W,,,62,,A.2,"Control, 1 ch",1,LX - FIXTURES,,"L161, R119",,,HS BLUE >>,,14.1lbs,#1 ELECTRIC,-27.80',34.48',-4.42',88.1°,-46.7°,87.4°,88°,43°,EF18880A-28B4-4C56-BA1B-BF3FBB788920,
ETC Source Four 19°,HPL 750/230,750W,,,63,,A.3,"Control, 1 ch",1,LX - FIXTURES,,"L161, R119",,,HS BLUE >>,,14.1lbs,#1 ELECTRIC,-25.56',34.48',-4.42',86.9°,-34.4°,84.6°,85°,55°,C0F6BF3B-1166-4DDA-BB77-F44579276A0C,
ETC Source Four 36°,HPL 750/230,750W,,,73,,A.12,"Control, 1 ch",1,LX - FIXTURES,,"R119, R16",,,HS AMB <<,,14.1lbs,#1 ELECTRIC,31.04',34.47',-4.45',93.7°,61.3°,-94.3°,-92°,28°,E5091315-5B65-4B31-A821-97794FF78481,
ETC Source Four 26°,HPL 750/230,750W,,,72,,A.11,"Control, 1 ch",1,LX - FIXTURES,,"R119, R16",,,HS AMB <<,,14.1lbs,#1 ELECTRIC,28.30',34.47',-4.45',91.9°,46.7°,-92.6°,-91°,43°,5A07936A-2022-4782-BD8D-5276B71E89D6,
ETC Source Four 19°,HPL 750/230,750W,,,71,,A.10,"Control, 1 ch",1,LX - FIXTURES,,"R119, R16",,,HS AMB <<,,14.1lbs,#1 ELECTRIC,26.06',34.47',-4.45',93.1°,34.4°,-95.4°,-94°,55°,8BDCC603-BDAB-415A-86A5-667665E9DB38,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,84,,C.253,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,AP TRUSS MOV \\,,83.9lbs,AP TRUSS SR,14.48',38.71',7.03',-0°,0°,0°,0°,0°,00D55560-EE0B-4EB6-8C38-B1253F4FD2C2,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,85,,C.289,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,AP TRUSS MOV \\,,83.9lbs,AP TRUSS SR,16.41',38.71',7.03',-0°,0°,0°,0°,0°,E541A94C-1DCF-46D5-803B-D407FAA14625,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,86,,C.325,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,AP TRUSS MOV \\,,83.9lbs,AP TRUSS SR,18.36',38.71',7.03',-0°,0°,0°,0°,0°,D5DC4B54-1C23-48FE-BCAC-029115C807EA,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,81,,C.145,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,AP TRUSS MOV //,,83.9lbs,AP TRUSS SR,-17.85',38.71',7',-0°,0°,0°,0°,0°,A308646E-58CC-4B94-81EB-6756C4D03148,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,82,,C.181,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,AP TRUSS MOV //,,83.9lbs,AP TRUSS SR,-15.92',38.71',7',-0°,0°,0°,0°,0°,CD2ADBCB-E7AB-4916-A181-1A90F6F2D64C,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,83,,C.217,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,AP TRUSS MOV //,,83.9lbs,AP TRUSS SR,-13.98',38.71',7',-0°,0°,0°,0°,0°,5E2662B5-D87C-406F-935D-E48C51001A3A,
